,col_a,col_b,rvalue
89,1,02-00_1,1.0
32,1,01-01_5,0.5785453942021909
57,1,01-01_5,0.9395317821053308
31,1,01-01_4,0.5706200865347584
56,1,01-01_4,0.9349844793052808
30,1,01-01_3,0.5725264165981186
55,1,01-01_3,0.9168622315070322
29,1,01-01_1,0.611945649730185
54,1,01-01_1,0.9999999999999996
28,1,01-00_5,0.9079793525985974
27,1,01-00_4,0.9125298352308252
26,1,01-00_3,0.8787898433556856
25,1,01-00_1,1.0
7,1,00-01_5,0.8856502882230867
6,1,00-01_4,0.920126982632598
5,1,00-01_3,0.8500366088264047
4,1,00-01_2,0.5997423605291239
3,1,00-01_1,0.9999999999999996
329,2,07-01_5,0.570908015995489
179,2,07-01_2,0.6838643932103504
300,2,07-01_2,0.5376514856253228
328,2,07-01_2,1.0
299,2,07-00_5,0.6450907932039756
298,2,07-00_4,0.5919838558740114
297,2,07-00_3,0.5685731848234566
178,2,07-00_2,0.5273922504045071
296,2,07-00_2,0.9999999999999998
273,2,06-01_4,0.5260393824451763
272,2,06-01_2,1.0
257,2,06-00_2,1.0
244,2,05-01_4,0.5414541851938952
219,2,05-01_2,0.5524943088663105
243,2,05-01_2,1.0
218,2,05-00_5,0.55891351682357
217,2,05-00_4,0.6153014971642572
216,2,05-00_3,0.5594101216740602
215,2,05-00_2,1.0
177,2,04-01_2,1.0
152,2,04-00_2,1.0
134,2,03-01_2,0.9999999999999996
122,2,03-00_2,1.0
108,2,02-01_2,1.0
93,2,02-00_2,1.0
66,2,01-01_2,1.0
33,2,01-00_2,1.0
13,2,00-01_5,0.5161554108763342
12,2,00-01_4,0.5776325440852537
11,2,00-01_2,1.0
187,3,07-01_5,0.6475678483221958
307,3,07-01_5,0.6144336552876722
332,3,07-01_5,0.9394375859470088
186,3,07-01_4,0.6828941500611106
306,3,07-01_4,0.5986642697261092
331,3,07-01_4,0.970417653999996
185,3,07-01_3,0.6817353010313032
305,3,07-01_3,0.6168532877272969
330,3,07-01_3,1.0
184,3,07-01_1,0.6548227438657135
304,3,07-01_1,0.6050983389455843
303,3,07-00_5,0.928633269956072
302,3,07-00_4,0.9752009805417988
156,3,07-00_3,0.5006328669757891
183,3,07-00_3,0.5095857839187787
301,3,07-00_3,1.0
75,3,06-01_5,0.5272654532597014
276,3,06-01_5,0.8899454587827685
74,3,06-01_4,0.532136239304342
275,3,06-01_4,0.9040791246593592
73,3,06-01_3,0.5599910326091528
274,3,06-01_3,0.9999999999999998
72,3,06-01_1,0.5221519031646905
260,3,06-00_5,0.8888447354913376
259,3,06-00_4,0.9252735039903104
258,3,06-00_3,1.0
226,3,05-01_5,0.5987161060719292
247,3,05-01_5,0.8198066776759401
225,3,05-01_4,0.5776805217580312
246,3,05-01_4,0.8081991003758052
224,3,05-01_3,0.6634454268527745
245,3,05-01_3,1.0
223,3,05-01_1,0.5774956519823201
222,3,05-00_5,0.8210671901705698
221,3,05-00_4,0.855252485558957
220,3,05-00_3,1.0
182,3,04-01_5,0.9188832076029122
181,3,04-01_4,0.9457203219385958
180,3,04-01_3,1.0
155,3,04-00_5,0.93660857106676
154,3,04-00_4,0.9590505136239068
153,3,04-00_3,1.0
137,3,03-01_5,0.8560582868860397
136,3,03-01_4,0.7816176337874475
135,3,03-01_3,1.0
125,3,03-00_5,0.8718989669206128
124,3,03-00_4,0.8638561718312471
97,3,03-00_3,0.5267595391700097
123,3,03-00_3,1.0
71,3,02-01_5,0.5252057155296787
111,3,02-01_5,0.9340643241616636
110,3,02-01_4,0.921805233244098
70,3,02-01_3,0.5464934640062691
109,3,02-01_3,1.0
96,3,02-00_5,0.9019104059110992
95,3,02-00_4,0.8817901763475389
94,3,02-00_3,1.0
40,3,01-01_5,0.577419849507509
69,3,01-01_5,0.9324764381598024
39,3,01-01_4,0.5591792642147352
68,3,01-01_4,0.9124448735212376
38,3,01-01_3,0.6103151081145634
67,3,01-01_3,1.0
37,3,01-01_1,0.5778291249090819
36,3,01-00_5,0.8748013920372024
35,3,01-00_4,0.904506296498678
34,3,01-00_3,1.0
16,3,00-01_5,0.8878255425684229
15,3,00-01_4,0.8924966735890459
14,3,00-01_3,1.0
196,4,07-01_5,0.6277752916448013
313,4,07-01_5,0.5987848368351331
334,4,07-01_5,0.923833615821498
195,4,07-01_4,0.6988802040514971
312,4,07-01_4,0.5952646621179846
333,4,07-01_4,1.0
194,4,07-01_3,0.6615315607384755
311,4,07-01_3,0.605266316634556
193,4,07-01_1,0.6648061103211927
310,4,07-01_1,0.5987240921409915
309,4,07-00_5,0.8976725938598289
192,4,07-00_4,0.5251978086397279
308,4,07-00_4,1.0
191,4,07-00_3,0.5287885118509562
190,4,07-00_1,0.505440908225519
278,4,06-01_5,0.7979272769528624
