,col_a,col_b,rvalue
50,01-00_5,01-01_4,0.5093164801925358
51,01-00_5,01-01_5,0.5961718269867595
52,01-01_0,01-01_0,1.0
53,01-01_0,01-01_2,0.6665789598309846
54,01-01_1,01-01_1,0.9999999999999997
55,01-01_1,01-01_3,0.9168622315070322
56,01-01_1,01-01_4,0.9349844793052807
57,01-01_1,01-01_5,0.9395317821053307
58,01-01_1,02-01_1,0.5109345817071519
59,01-01_1,02-01_3,0.524180926448896
60,01-01_1,02-01_4,0.5108146017848181
61,01-01_1,02-01_5,0.526357855715215
62,01-01_1,06-01_1,0.5338898533838627
63,01-01_1,06-01_3,0.5276810658314547
64,01-01_1,06-01_4,0.5298436526090617
65,01-01_1,06-01_5,0.5208388774324412
66,01-01_2,01-01_2,1.0
67,01-01_3,01-01_3,1.0
68,01-01_3,01-01_4,0.9124448735212377
69,01-01_3,01-01_5,0.9324764381598024
70,01-01_3,02-01_3,0.5464934640062691
71,01-01_3,02-01_5,0.5252057155296787
72,01-01_3,06-01_1,0.5221519031646905
73,01-01_3,06-01_3,0.5599910326091528
74,01-01_3,06-01_4,0.532136239304342
75,01-01_3,06-01_5,0.5272654532597014
76,01-01_4,01-01_4,0.9999999999999998
77,01-01_4,01-01_5,0.8550782602018532
78,01-01_4,06-01_1,0.5154413864374225
79,01-01_4,06-01_3,0.5253752838144006
80,01-01_4,06-01_4,0.5604628548156316
81,01-01_5,01-01_5,1.0
82,01-01_5,02-01_3,0.5253281490140493
83,01-01_5,02-01_5,0.5289305261977499
84,01-01_5,06-01_1,0.5225162085538395
85,01-01_5,06-01_3,0.5191371541220893
86,01-01_5,06-01_5,0.5408715027312503
87,02-00_0,02-00_0,1.0
88,02-00_0,02-00_2,0.6326557119843695
89,02-00_1,02-00_1,1.0
90,02-00_1,02-00_3,0.8207031986373025
91,02-00_1,02-00_4,0.9287987480724009
92,02-00_1,02-00_5,0.8409713185087482
93,02-00_2,02-00_2,1.0
94,02-00_3,02-00_3,1.0
95,02-00_3,02-00_4,0.8817901763475389
96,02-00_3,02-00_5,0.9019104059110991
97,02-00_3,03-00_3,0.5267595391700097
98,02-00_4,02-00_4,0.9999999999999997
99,02-00_4,02-00_5,0.7841407514475939
100,02-00_4,03-00_4,0.5000020031461583
101,02-00_5,02-00_5,1.0
102,02-01_0,02-01_0,0.9999999999999999
103,02-01_0,02-01_2,0.5916192195023304
104,02-01_1,02-01_1,0.9999999999999999
105,02-01_1,02-01_3,0.8914720523879944
106,02-01_1,02-01_4,0.9523318710218844
107,02-01_1,02-01_5,0.9207967100512799
108,02-01_2,02-01_2,1.0
109,02-01_3,02-01_3,1.0
110,02-01_3,02-01_4,0.9218052332440981
111,02-01_3,02-01_5,0.9340643241616637
112,02-01_4,02-01_4,0.9999999999999998
113,02-01_4,02-01_5,0.8763042403767572
114,02-01_4,06-01_4,0.508653568643625
115,02-01_5,02-01_5,1.0
116,03-00_0,03-00_0,0.9999999999999997
117,03-00_0,03-00_2,0.5450409677319975
118,03-00_1,03-00_1,0.9999999999999998
119,03-00_1,03-00_3,0.8145478135175828
