,col_a,col_b,pvalue
203,01-00_2,02-00_0,1.4600236419157516e-08
204,01-00_2,02-00_2,5.3535466100509905e-11
205,01-00_2,02-01_2,2.3584074864805083e-08
206,01-00_2,03-00_0,3.093090808331316e-08
207,01-00_2,03-00_2,4.06097219575581e-10
208,01-00_2,03-01_2,6.995763035823024e-09
209,01-00_2,04-00_2,2.41605333085225e-07
210,01-00_2,05-00_2,2.1247327653627656e-07
211,01-00_2,06-00_0,4.1408245660415335e-08
212,01-00_2,06-00_2,6.134444375374071e-13
213,01-00_2,07-00_1,2.214936214128671e-07
214,01-00_2,07-00_2,1.4538433492003813e-11
215,01-00_2,07-00_4,1.1843663180435545e-06
216,01-00_2,07-00_5,1.6784286529039968e-06
217,01-00_3,01-00_3,0.0
218,01-00_3,01-00_4,1.1858129882018496e-115
219,01-00_3,01-00_5,1.2469083277229803e-98
220,01-00_3,01-01_0,1.1483042611607716e-08
221,01-00_3,01-01_1,6.428531202013002e-29
222,01-00_3,01-01_2,9.404889979920908e-07
223,01-00_3,01-01_3,6.389655525191398e-33
224,01-00_3,01-01_4,8.15065442470382e-27
225,01-00_3,01-01_5,7.173249175489449e-29
226,01-00_3,02-00_1,2.975737017997211e-07
227,01-00_3,02-00_3,2.3287252210843544e-12
228,01-00_3,02-00_4,2.967006073545804e-08
229,01-00_3,02-00_5,2.531358371268952e-09
230,01-00_3,02-01_1,2.7295121458337637e-09
231,01-00_3,02-01_3,1.2121025513136306e-15
232,01-00_3,02-01_4,1.0797445651219551e-10
233,01-00_3,02-01_5,1.1996152514353306e-12
234,01-00_3,03-00_1,1.9848863103793507e-07
235,01-00_3,03-00_3,8.053146621841404e-15
236,01-00_3,03-00_4,2.0063370419091135e-10
237,01-00_3,03-00_5,5.385967745656206e-08
238,01-00_3,04-00_0,4.098416696790631e-06
239,01-00_3,04-00_1,1.329191302333049e-09
240,01-00_3,04-00_2,1.6995403152617114e-06
241,01-00_3,04-00_3,8.614436549218249e-11
242,01-00_3,04-00_4,1.294050564852025e-09
243,01-00_3,04-00_5,2.0844358011290822e-10
244,01-00_3,06-00_1,3.684436212621841e-09
245,01-00_3,06-00_3,2.4809925628538247e-10
246,01-00_3,06-00_4,1.2647069729068905e-08
247,01-00_3,06-00_5,1.0873694817318954e-09
248,01-00_3,06-01_1,4.494210985281066e-07
249,01-00_3,06-01_3,9.910809140982126e-09
250,01-00_3,06-01_4,3.392268073535361e-07
251,01-00_3,06-01_5,5.4610563236854574e-08
252,01-00_3,07-00_0,1.0780405717316872e-06
253,01-00_4,01-00_4,0.0
254,01-00_4,01-00_5,6.387734506301044e-66
255,01-00_4,01-01_1,6.569355617917447e-32
256,01-00_4,01-01_2,9.1133620002675e-07
257,01-00_4,01-01_3,1.1793607887860516e-30
258,01-00_4,01-01_4,1.2234357973726234e-34
259,01-00_4,01-01_5,1.290487157245844e-26
260,01-00_4,02-00_1,1.0613207413786685e-06
261,01-00_4,02-00_3,4.2146151002996236e-10
262,01-00_4,02-00_4,1.9822158672580223e-08
263,01-00_4,02-00_5,2.117163330120309e-07
264,01-00_4,02-01_1,5.25998948387961e-10
265,01-00_4,02-01_3,8.691711844363524e-15
266,01-00_4,02-01_4,1.3200537688471508e-11
267,01-00_4,02-01_5,1.2366291499220797e-12
268,01-00_4,03-00_1,1.2220039859957357e-08
269,01-00_4,03-00_3,7.097076724373589e-14
270,01-00_4,03-00_4,1.5578698578467064e-12
271,01-00_4,03-00_5,2.997474667919487e-07
272,01-00_4,04-00_1,2.443601484655288e-07
273,01-00_4,04-00_3,2.8802911266661706e-08
274,01-00_4,04-00_4,1.6675586041908626e-07
275,01-00_4,04-00_5,1.930921633417571e-07
276,01-00_4,06-00_1,1.9494651940172276e-09
277,01-00_4,06-00_3,5.671976839625122e-10
278,01-00_4,06-00_4,3.0079757889622907e-10
279,01-00_4,06-00_5,1.2308187945865349e-08
280,01-00_4,06-01_1,3.124825383964097e-08
281,01-00_4,06-01_3,5.654964525131795e-09
282,01-00_4,06-01_4,4.292332390875605e-09
283,01-00_4,06-01_5,1.5247218864366138e-07
284,01-00_5,01-00_5,0.0
285,01-00_5,01-01_0,2.929478195392866e-09
286,01-00_5,01-01_1,1.756160494124842e-27
287,01-00_5,01-01_2,2.1940481634071723e-08
288,01-00_5,01-01_3,4.301876646024953e-27
289,01-00_5,01-01_4,8.470500493761309e-22
290,01-00_5,01-01_5,4.018260617046466e-31
291,01-00_5,02-00_3,1.1697397240118461e-08
292,01-00_5,02-00_5,5.259156488058726e-08
293,01-00_5,02-01_1,3.3172701484002226e-07
294,01-00_5,02-01_3,5.880100675754577e-12
295,01-00_5,02-01_4,5.983149431815777e-08
296,01-00_5,02-01_5,1.945608348274865e-10
297,01-00_5,03-00_1,1.284726465159179e-06
298,01-00_5,03-00_3,7.360400781515455e-10
299,01-00_5,03-00_4,1.388329418449844e-07
300,01-00_5,03-00_5,3.94458972681871e-06
301,01-00_5,04-00_1,1.40068233785794e-07
302,01-00_5,04-00_3,3.534306081451752e-08
303,01-00_5,04-00_4,2.3576438297266294e-07
304,01-00_5,04-00_5,7.223244229926384e-10
305,01-00_5,06-00_1,1.9980469014233726e-07
306,01-00_5,06-00_3,4.67174433238529e-07
307,01-00_5,06-00_5,4.366241781984833e-08
308,01-00_5,06-01_3,4.661453716394173e-06
309,01-00_5,06-01_5,8.618176032207899e-07
310,01-00_5,07-00_0,2.9050521111118983e-08
311,01-01_0,01-01_0,0.0
312,01-01_0,01-01_1,9.353320017563112e-15
313,01-01_0,01-01_2,4.593311278545718e-41
314,01-01_0,01-01_3,9.852646539609362e-20
315,01-01_0,01-01_4,1.6928470150858665e-12
316,01-01_0,01-01_5,9.344734462449972e-20
317,01-01_0,02-00_0,1.144589460022761e-09
318,01-01_0,02-00_3,1.6964483130530198e-06
319,01-01_0,02-00_5,2.1454544332286745e-07
320,01-01_0,02-01_0,2.317120977179733e-12
321,01-01_0,02-01_1,2.3020472219240018e-08
322,01-01_0,02-01_3,2.012525039096323e-09
323,01-01_0,02-01_4,5.7641066954778034e-08
324,01-01_0,02-01_5,5.605922771349534e-10
325,01-01_0,03-00_0,3.490147033870498e-12
326,01-01_0,03-01_0,1.574498481839851e-18
327,01-01_0,04-00_0,6.375441192486483e-08
328,01-01_0,04-01_0,9.28943652901256e-08
329,01-01_0,05-01_0,1.072918357654058e-08
330,01-01_0,06-00_0,9.72441270901471e-16
331,01-01_0,06-00_5,4.825412368754992e-06
332,01-01_0,06-01_0,7.204731809706246e-19
333,01-01_0,06-01_1,1.0363564393155677e-10
334,01-01_0,06-01_3,3.031145493497592e-12
335,01-01_0,06-01_4,1.6445273474231467e-10
336,01-01_0,06-01_5,2.3541497231635563e-12
337,01-01_1,01-01_1,0.0
338,01-01_1,01-01_2,4.953577747556061e-19
339,01-01_1,01-01_3,1.8289384473043771e-124
340,01-01_1,01-01_4,3.0911585471552044e-140
341,01-01_1,01-01_5,6.46865419157404e-145
342,01-01_1,02-00_1,1.891701368809247e-06
