,col_a,col_b,rvalue
2098,0,06-01_5,0.2778665128349971
2165,0,06-01_5,0.5014569667154356
494,0,06-01_4,0.353233809632888
746,0,06-01_4,0.2116386494511382
1202,0,06-01_4,0.2213069275232026
2015,0,06-01_4,0.2291856129988775
2097,0,06-01_4,0.2474286435671271
2164,0,06-01_4,0.402743407899841
14,0,06-01_3,0.2334454116405981
493,0,06-01_3,0.3831700429614839
1201,0,06-01_3,0.2223397144140714
1567,0,06-01_3,0.2048856224467143
2014,0,06-01_3,0.2535311992898433
2096,0,06-01_3,0.2666996374804947
2163,0,06-01_3,0.4783958996398813
13,0,06-01_2,0.323141376195331
1726,0,06-01_2,0.2068135107925247
2013,0,06-01_2,0.2084138398582774
2162,0,06-01_2,0.5328935900034627
12,0,06-01_1,0.2326775945048102
492,0,06-01_1,0.3568579429182795
745,0,06-01_1,0.2176856488880359
2012,0,06-01_1,0.257560997364413
2095,0,06-01_1,0.229615067198338
2161,0,06-01_1,0.425128476824791
11,0,06-01_0,0.4429397274281816
231,0,06-01_0,0.2340350800452004
491,0,06-01_0,0.4758821642095259
744,0,06-01_0,0.2855530464130911
979,0,06-01_0,0.3064161596366504
1200,0,06-01_0,0.2340776178186668
1396,0,06-01_0,0.3429119089619215
1566,0,06-01_0,0.2324513413529033
1725,0,06-01_0,0.3159554616835195
2011,0,06-01_0,0.3742360431825852
2094,0,06-01_0,0.48651053079952
2160,0,06-01_0,1.0
490,0,06-00_5,0.2567722284619172
1565,0,06-00_5,0.3331906959158915
2093,0,06-00_5,0.4703341151879288
1564,0,06-00_4,0.2513531541412529
2092,0,06-00_4,0.3812213361988178
489,0,06-00_3,0.2370714974020479
1563,0,06-00_3,0.2865061737142877
2091,0,06-00_3,0.4300191713721793
230,0,06-00_2,0.2255432735984607
488,0,06-00_2,0.2123249837876492
743,0,06-00_2,0.3262393911867932
978,0,06-00_2,0.2295990111452942
1199,0,06-00_2,0.2476358917223499
2010,0,06-00_2,0.2135668724954534
2090,0,06-00_2,0.598950335162439
487,0,06-00_1,0.2008368716518472
1562,0,06-00_1,0.3024727510649099
2089,0,06-00_1,0.3802607917655919
