,col_a,col_b,pvalue
295,01-01_1,03-01_4,2.0156820950284508e-11
296,01-01_1,03-01_5,2.295302612806066e-07
297,01-01_1,04-01_1,2.5841868308501623e-08
298,01-01_1,04-01_2,1.6380340746703378e-06
299,01-01_1,04-01_4,2.9304883789147318e-06
300,01-01_1,04-01_5,7.012835295952876e-09
301,01-01_1,06-00_1,4.484627984249233e-06
302,01-01_1,06-00_4,4.8336936494230685e-06
303,01-01_1,06-01_1,3.438081165023244e-17
304,01-01_1,06-01_3,2.354699240897573e-17
305,01-01_1,06-01_4,4.350434626548168e-19
306,01-01_1,06-01_5,3.4609874849200923e-16
307,01-01_2,01-01_2,0.0
308,01-01_2,01-01_3,3.0613368773780393e-16
309,01-01_2,01-01_4,5.5515681468879705e-15
310,01-01_2,01-01_5,3.5609769766495086e-14
311,01-01_2,02-01_0,2.971338890353827e-06
312,01-01_2,02-01_2,8.176091410953869e-18
313,01-01_2,03-01_0,7.092243944012331e-10
314,01-01_2,03-01_2,3.206524175642246e-19
315,01-01_2,04-01_2,9.516764118923923e-11
316,01-01_2,05-01_0,2.4925217247753624e-06
317,01-01_2,05-01_2,1.823991812601377e-10
318,01-01_2,06-00_0,2.863069419467114e-06
319,01-01_2,06-01_2,1.645248973848994e-06
320,01-01_2,06-01_3,1.1360279444304757e-07
321,01-01_2,06-01_4,6.98516213763879e-07
322,01-01_2,07-00_2,4.144790786546752e-08
323,01-01_2,07-01_2,3.953437941558384e-06
324,01-01_3,01-01_3,0.0
325,01-01_3,01-01_4,2.225574977869777e-73
326,01-01_3,01-01_5,1.1811670807615342e-109
327,01-01_3,02-00_1,2.6074107315923914e-06
328,01-01_3,02-00_3,1.417050096788943e-07
329,01-01_3,02-00_5,1.4051011864909225e-06
330,01-01_3,02-01_1,2.5645922901756e-20
331,01-01_3,02-01_2,1.0768623348898117e-06
332,01-01_3,02-01_3,8.983106723035307e-21
333,01-01_3,02-01_4,2.7119499793252445e-18
334,01-01_3,02-01_5,8.52309983475724e-20
335,01-01_3,03-00_3,7.546263982466806e-07
336,01-01_3,03-00_4,1.5837461403898768e-06
337,01-01_3,03-01_1,7.353453361299809e-08
338,01-01_3,03-01_3,7.851715344246615e-12
339,01-01_3,03-01_4,3.3987247793114014e-08
340,01-01_3,03-01_5,6.926618707344266e-09
341,01-01_3,04-01_1,6.680370198774679e-08
342,01-01_3,04-01_2,2.0186586913717776e-06
343,01-01_3,04-01_3,1.3613400617222018e-06
344,01-01_3,04-01_4,2.65846104533915e-07
345,01-01_3,04-01_5,3.062057400290377e-08
346,01-01_3,06-00_1,1.552420326441479e-06
347,01-01_3,06-00_3,3.432485102711027e-09
348,01-01_3,06-00_4,1.1837051957460468e-06
349,01-01_3,06-00_5,4.4183067337059904e-08
