,col_a,col_b,pvalue
181,02-01_3,02-01_3,0.0
182,02-01_3,02-01_4,2.2145912423396656e-128
183,02-01_3,02-01_5,2.4872043127059885e-139
184,02-01_3,03-01_3,3.431328970679426e-16
185,02-01_3,06-01_3,4.412312924710448e-19
186,02-01_3,06-01_4,1.3734142445243568e-17
187,02-01_3,06-01_5,1.9551040403240595e-15
188,02-01_4,02-01_4,0.0
189,02-01_4,02-01_5,2.2052234042312748e-99
190,02-01_4,03-01_3,1.2995934781292586e-15
191,02-01_4,03-01_4,3.1016149518781967e-17
192,02-01_4,06-01_1,2.4132380216720867e-16
193,02-01_4,06-01_3,4.515249016522044e-18
194,02-01_4,06-01_4,9.753876652263104e-22
195,02-01_5,02-01_5,0.0
196,02-01_5,06-01_1,6.712346495586946e-19
197,02-01_5,06-01_3,1.647157558848387e-19
198,02-01_5,06-01_4,1.6524182955530058e-19
199,02-01_5,06-01_5,8.974668577905553e-19
200,03-00_0,03-00_0,0.0
201,03-00_0,03-00_2,2.626394725730502e-25
202,03-00_0,03-00_3,2.5100327658811188e-15
203,03-00_0,03-00_5,5.2686969418060294e-18
204,03-00_1,03-00_1,0.0
205,03-00_1,03-00_2,6.314322227669095e-16
206,03-00_1,03-00_3,1.383401185870169e-74
207,03-00_1,03-00_4,1.0538595112736284e-113
208,03-00_1,03-00_5,2.6026359260537207e-94
209,03-00_1,03-01_1,3.7408667172040085e-16
210,03-00_1,03-01_3,8.202443747163827e-17
211,03-00_1,03-01_5,7.792606265937793e-17
212,03-00_2,03-00_2,0.0
213,03-00_2,03-00_4,1.0417836502996417e-18
214,03-00_3,03-00_3,0.0
215,03-00_3,03-00_4,1.986499853352855e-93
216,03-00_3,03-00_5,3.3249642515592773e-97
217,03-00_3,03-01_3,6.344261361116352e-16
218,03-00_3,04-00_3,5.828363197401105e-17
219,03-00_3,04-00_4,1.1851112453900827e-16
220,03-00_4,03-00_4,0.0
221,03-00_4,03-00_5,4.821713439477163e-53
222,03-00_4,03-01_3,2.327357646655715e-15
223,03-00_5,03-00_5,0.0
224,03-00_5,03-01_3,3.5915344435527463e-16
225,03-00_5,03-01_5,3.977425841296353e-19
226,03-01_0,03-01_0,0.0
227,03-01_0,03-01_2,1.1959568852070207e-20
228,03-01_0,03-01_5,5.300017852396752e-18
229,03-01_1,03-01_1,0.0
230,03-01_1,03-01_3,1.1451298116021963e-54
231,03-01_1,03-01_4,1.369543830473191e-105
232,03-01_1,03-01_5,3.3864295223985083e-66
233,03-01_1,06-01_1,2.6568312309423147e-17
234,03-01_2,03-01_2,0.0
235,03-01_3,03-01_3,0.0
236,03-01_3,03-01_4,6.824251549006526e-65
237,03-01_3,03-01_5,5.438368068546362e-90
238,03-01_3,04-01_1,3.629307183663392e-15
239,03-01_3,04-01_4,7.880610341531424e-18
240,03-01_3,06-01_1,1.3395116877373609e-18
241,03-01_3,06-01_3,2.345022876549101e-16
242,03-01_3,06-01_4,2.104330531874584e-15
243,03-01_3,06-01_5,8.395311190657857e-19
244,03-01_4,03-01_4,0.0
245,03-01_4,03-01_5,5.075398683321324e-38
246,03-01_4,06-01_1,5.008455274621226e-18
247,03-01_4,06-01_4,8.339194192400319e-18
248,03-01_5,03-01_5,0.0
249,03-01_5,06-01_5,9.809891650900182e-16
250,04-00_0,04-00_0,0.0
251,04-00_0,04-00_1,2.562722282552484e-29
252,04-00_0,04-00_2,2.482285566518885e-24
253,04-00_0,04-00_3,1.919910994822873e-24
254,04-00_0,04-00_4,8.65308314560842e-22
255,04-00_0,04-00_5,7.359977278238289e-34
256,04-00_0,04-01_0,7.861305874545652e-16
257,04-00_0,07-00_0,2.795021554904434e-20
258,04-00_1,04-00_1,0.0
259,04-00_1,04-00_2,5.499596145629313e-19
260,04-00_1,04-00_3,5.566966078741317e-138
261,04-00_1,04-00_4,1.7038147684322622e-167
262,04-00_1,04-00_5,7.265355025989135e-151
263,04-00_1,04-01_1,9.153322747242522e-22
264,04-00_1,04-01_3,4.181604543343695e-15
265,04-00_1,04-01_4,7.666042758299408e-17
266,04-00_1,04-01_5,1.1355781137819604e-18
267,04-00_1,07-00_1,6.717480483166583e-21
268,04-00_1,07-00_3,2.894941577697558e-20
269,04-00_1,07-00_4,5.631361664963528e-20
270,04-00_1,07-00_5,4.1291868892444394e-20
271,04-00_2,04-00_2,0.0
272,04-00_2,04-00_3,5.586186263758238e-16
273,04-00_2,04-00_4,3.9458990807186044e-16
274,04-00_2,04-00_5,4.754386051751809e-20
275,04-00_2,07-00_2,3.456839380047183e-16
276,04-00_3,04-00_3,0.0
277,04-00_3,04-00_4,3.056303866596827e-170
278,04-00_3,04-00_5,7.225612300585402e-142
279,04-00_3,04-01_1,1.1683708937960058e-20
280,04-00_3,04-01_3,1.7152415762357152e-19
281,04-00_3,04-01_4,6.910146464827161e-20
282,04-00_3,04-01_5,5.162523775479903e-19
283,04-00_3,07-00_1,6.947287308778149e-19
284,04-00_3,07-00_3,5.247879051270695e-21
285,04-00_3,07-00_4,2.708541399809355e-20
286,04-00_3,07-00_5,1.522111023088004e-17
287,04-00_4,04-00_4,0.0
288,04-00_4,04-00_5,1.924874552401775e-110
289,04-00_4,04-01_1,4.522583202895977e-22
290,04-00_4,04-01_3,9.397964503568153e-19
291,04-00_4,04-01_4,1.2950822972141103e-20
292,04-00_4,04-01_5,7.602884540463786e-19
293,04-00_4,07-00_1,3.0469634924015615e-19
294,04-00_4,07-00_3,2.2374955790596675e-20
295,04-00_4,07-00_4,6.050445394249296e-21
296,04-00_4,07-00_5,2.907864547287425e-17
297,04-00_5,04-00_5,0.0
298,04-00_5,04-01_1,3.0799297503216705e-20
299,04-00_5,04-01_3,5.392275097495239e-16
300,04-00_5,04-01_4,1.8162297265465486e-16
301,04-00_5,04-01_5,1.3202399134370035e-19
302,04-00_5,07-00_1,5.264852466787329e-20
303,04-00_5,07-00_3,1.6555757003237244e-19
304,04-00_5,07-00_4,1.4385957056584753e-18
305,04-00_5,07-00_5,1.969603940860985e-20
306,04-01_0,04-01_0,0.0
307,04-01_0,04-01_1,1.6065452094306125e-15
308,04-01_0,04-01_2,8.0187069290449955e-19
309,04-01_0,04-01_3,7.343056016039567e-16
310,04-01_0,04-01_5,2.0312732893354788e-21
311,04-01_0,07-01_0,7.799417923518242e-39
312,04-01_0,07-01_2,1.3339033569808775e-17
313,04-01_1,04-01_1,0.0
314,04-01_1,04-01_2,4.041386090379297e-21
315,04-01_1,04-01_3,4.860544760139754e-107
316,04-01_1,04-01_4,2.9922389381126365e-138
317,04-01_1,04-01_5,5.101525468146641e-142
318,04-01_1,06-01_1,6.502547963087763e-16
319,04-01_1,07-00_1,5.902701025200857e-25
320,04-01_1,07-00_3,4.030798378119878e-23
321,04-01_1,07-00_4,5.218419880911684e-23
322,04-01_1,07-00_5,6.878371556347986e-24
323,04-01_1,07-01_1,1.0645376301086159e-47
324,04-01_1,07-01_2,1.7842425739566758e-17
325,04-01_1,07-01_3,9.45294314607136e-36
326,04-01_1,07-01_4,2.8261514320556847e-41
327,04-01_1,07-01_5,3.1094720911787826e-41
328,04-01_2,04-01_2,0.0
329,04-01_2,04-01_5,4.261006911658774e-18
330,04-01_2,07-00_2,1.6017772140796272e-23
331,04-01_2,07-01_2,6.16840273795992e-44
332,04-01_3,04-01_3,0.0
333,04-01_3,04-01_4,6.648937670557597e-152
334,04-01_3,04-01_5,4.9085415395102144e-126
335,04-01_3,07-00_1,8.64410895365466e-20
336,04-01_3,07-00_3,7.997993271379799e-22
337,04-01_3,07-00_4,6.0808500313027836e-21
338,04-01_3,07-00_5,2.423711070261112e-18
339,04-01_3,07-01_1,3.220079392127905e-39
340,04-01_3,07-01_3,1.4276625718356015e-43
341,04-01_3,07-01_4,9.049860521338528e-44
342,04-01_3,07-01_5,4.0396833251607406e-38
343,04-01_4,04-01_4,0.0
344,04-01_4,04-01_5,1.7401836184873046e-96
345,04-01_4,07-00_1,1.924042375362415e-21
346,04-01_4,07-00_3,1.1672121989843017e-23
347,04-01_4,07-00_4,2.626324057552977e-23
348,04-01_4,07-00_5,2.0422611074407316e-20
349,04-01_4,07-01_1,8.827496805592115e-41
350,04-01_4,07-01_3,2.916007031696682e-40
351,04-01_4,07-01_4,1.3446873417194011e-46
352,04-01_4,07-01_5,2.860385344617568e-35
353,04-01_5,04-01_5,0.0
354,04-01_5,06-01_1,5.765971254398952e-16
355,04-01_5,07-00_1,2.0183797152610474e-20
356,04-01_5,07-00_3,4.3050491416960223e-19
357,04-01_5,07-00_4,1.7787248796701043e-18
358,04-01_5,07-00_5,8.542999257147528e-20
359,04-01_5,07-01_0,2.999927271064113e-15
360,04-01_5,07-01_1,1.059108196861182e-42
361,04-01_5,07-01_2,5.732662475519748e-17
362,04-01_5,07-01_3,3.028264754544829e-35
363,04-01_5,07-01_4,3.0043814468730247e-36
364,04-01_5,07-01_5,2.526542299310966e-43
365,05-00_0,05-00_0,0.0
366,05-00_0,05-00_2,2.081551991506138e-26
367,05-00_0,05-00_3,6.971845775867501e-16
368,05-00_0,05-00_5,3.2275833022321322e-21
369,05-00_0,05-01_0,1.5882645403350448e-25
370,05-00_1,05-00_1,0.0
371,05-00_1,05-00_2,3.4095592215946824e-37
372,05-00_1,05-00_3,1.7645978896496655e-69
373,05-00_1,05-00_4,1.79123081790244e-128
374,05-00_1,05-00_5,5.1547179799933e-79
375,05-00_1,05-01_1,4.565348013253347e-44
376,05-00_1,05-01_3,3.621281263918699e-21
377,05-00_1,05-01_4,4.729512821252532e-33
378,05-00_1,05-01_5,1.0948327068042868e-26
379,05-00_2,05-00_2,0.0
380,05-00_2,05-00_3,7.690692917726549e-27
381,05-00_2,05-00_4,1.4111562034706712e-33
382,05-00_2,05-00_5,8.713802994187953e-27
383,05-00_2,05-01_2,4.29767875465613e-26
384,05-00_3,05-00_3,0.0
385,05-00_3,05-00_4,1.1997158841186237e-89
386,05-00_3,05-00_5,9.792878753724558e-77
387,05-00_3,05-01_1,7.029171316898305e-29
388,05-00_3,05-01_3,1.4530297185782407e-40
389,05-00_3,05-01_4,6.689659421644813e-29
390,05-00_3,05-01_5,1.9366837609652095e-31
391,05-00_4,05-00_4,0.0
392,05-00_4,05-00_5,1.683762554466768e-45
393,05-00_4,05-01_1,3.4257577994287496e-40
394,05-00_4,05-01_3,3.867172854985387e-27
395,05-00_4,05-01_4,1.5925317813852902e-43
396,05-00_4,05-01_5,1.8253409405387554e-20
397,05-00_5,05-00_5,0.0
398,05-00_5,05-01_1,9.20392888648495e-27
399,05-00_5,05-01_3,2.284440615833051e-25
400,05-00_5,05-01_4,9.939547315971555e-17
401,05-00_5,05-01_5,2.713991683307375e-46
402,05-01_0,05-01_0,0.0
403,05-01_0,05-01_2,4.686987434061669e-19
404,05-01_0,05-01_3,1.5579597078986368e-17
405,05-01_0,05-01_5,2.650707119898777e-22
406,05-01_1,05-01_1,0.0
407,05-01_1,05-01_2,4.6467171867933316e-31
408,05-01_1,05-01_3,7.458609370636847e-53
