,col_a,col_b,pvalue
281,3,04-01_4,6.910146464827161e-20
333,3,04-01_4,6.648937670557597e-152
280,3,04-01_3,1.7152415762357152e-19
332,3,04-01_3,0.0
238,3,04-01_1,3.629307183663392e-15
279,3,04-01_1,1.1683708937960058e-20
278,3,04-00_5,7.225612300585402e-142
219,3,04-00_4,1.1851112453900827e-16
277,3,04-00_4,3.056303866596827e-170
218,3,04-00_3,5.828363197401105e-17
276,3,04-00_3,0.0
237,3,03-01_5,5.438368068546362e-90
236,3,03-01_4,6.824251549006526e-65
184,3,03-01_3,3.431328970679426e-16
217,3,03-01_3,6.344261361116352e-16
235,3,03-01_3,0.0
216,3,03-00_5,3.3249642515592773e-97
152,3,03-00_4,1.0290471182906022e-18
215,3,03-00_4,1.986499853352855e-93
151,3,03-00_3,1.8479021828767016e-23
214,3,03-00_3,0.0
103,3,02-01_5,2.621665924805614e-23
183,3,02-01_5,2.4872043127059885e-139
102,3,02-01_4,6.631012445098018e-21
150,3,02-01_4,4.458792766006683e-15
182,3,02-01_4,2.2145912423396656e-128
61,3,02-01_3,1.2121025513136306e-15
101,3,02-01_3,1.8522447551788927e-25
149,3,02-01_3,2.553083701804426e-16
181,3,02-01_3,0.0
100,3,02-01_1,1.2961706193252726e-19
148,3,02-00_5,5.9200630679784566e-114
147,3,02-00_4,3.245282016339951e-102
146,3,02-00_3,0.0
60,3,01-01_5,7.173249175489449e-29
99,3,01-01_5,8.474121521727173e-138
59,3,01-01_4,8.15065442470382e-27
98,3,01-01_4,3.6446086437040573e-121
58,3,01-01_3,6.389655525191398e-33
97,3,01-01_3,0.0
57,3,01-01_1,6.428531202013001e-29
56,3,01-00_5,1.2469083277229803e-98
55,3,01-00_4,1.1858129882018496e-115
54,3,01-00_3,0.0
23,3,00-01_5,1.6911554869413043e-105
22,3,00-01_4,3.5909227860835564e-108
21,3,00-01_3,0.0
352,4,07-01_5,2.860385344617568e-35
503,4,07-01_5,1.8987011554757968e-31
529,4,07-01_5,4.5979860365313254e-130
351,4,07-01_4,1.3446873417194011e-46
502,4,07-01_4,5.204470399934842e-31
528,4,07-01_4,0.0
350,4,07-01_3,2.916007031696682e-40
501,4,07-01_3,2.869750117133209e-32
349,4,07-01_1,8.827496805592115e-41
500,4,07-01_1,1.932232175406592e-31
296,4,07-00_5,2.907864547287425e-17
348,4,07-00_5,2.042261107440732e-20
499,4,07-00_5,2.788015916449556e-111
295,4,07-00_4,6.050445394249296e-21
347,4,07-00_4,2.626324057552977e-23
498,4,07-00_4,0.0
294,4,07-00_3,2.2374955790596675e-20
346,4,07-00_3,1.1672121989843017e-23
293,4,07-00_1,3.0469634924015615e-19
345,4,07-00_1,1.924042375362415e-21
33,4,06-01_5,4.434229758506855e-18
117,4,06-01_5,3.7096524003666424e-19
461,4,06-01_5,1.812204329485208e-69
32,4,06-01_4,6.238261663671067e-22
116,4,06-01_4,5.897634194696101e-27
194,4,06-01_4,9.753876652263104e-22
247,4,06-01_4,8.339194192400319e-18
460,4,06-01_4,0.0
31,4,06-01_3,1.1543671151758522e-18
115,4,06-01_3,2.5237056916833562e-23
193,4,06-01_3,4.515249016522044e-18
30,4,06-01_1,1.7226228295539609e-18
114,4,06-01_1,2.267014482872567e-22
192,4,06-01_1,2.4132380216720867e-16
246,4,06-01_1,5.008455274621226e-18
440,4,06-00_5,1.0616584077972145e-71
439,4,06-00_4,0.0
396,4,05-01_5,1.8253409405387554e-20
419,4,05-01_5,1.769369874136111e-39
395,4,05-01_4,1.5925317813852902e-43
418,4,05-01_4,0.0
394,4,05-01_3,3.867172854985387e-27
393,4,05-01_1,3.425757799428749e-40
392,4,05-00_5,1.683762554466768e-45
391,4,05-00_4,0.0
292,4,04-01_5,7.602884540463786e-19
344,4,04-01_5,1.7401836184873048e-96
291,4,04-01_4,1.2950822972141103e-20
343,4,04-01_4,0.0
290,4,04-01_3,9.397964503568153e-19
289,4,04-01_1,4.522583202895977e-22
288,4,04-00_5,1.924874552401775e-110
287,4,04-00_4,0.0
245,4,03-01_5,5.075398683321324e-38
191,4,03-01_4,3.1016149518781967e-17
244,4,03-01_4,0.0
190,4,03-01_3,1.2995934781292586e-15
222,4,03-01_3,2.327357646655715e-15
221,4,03-00_5,4.821713439477163e-53
160,4,03-00_4,5.979322767264271e-21
220,4,03-00_4,0.0
159,4,03-00_3,2.0051168979053727e-20
113,4,02-01_5,5.051380009958885e-19
158,4,02-01_5,3.6326884533290945e-15
189,4,02-01_5,2.2052234042312748e-99
112,4,02-01_4,3.615186043994993e-20
157,4,02-01_4,5.967334749021022e-20
188,4,02-01_4,0.0
111,4,02-01_3,1.0184914082700536e-19
156,4,02-01_3,8.051324537213086e-18
110,4,02-01_1,3.056619407735297e-18
155,4,02-01_1,7.651156811969411e-17
154,4,02-00_5,1.4200791517569601e-65
153,4,02-00_4,0.0
67,4,01-01_5,1.290487157245844e-26
109,4,01-01_5,1.4226483117590501e-89
66,4,01-01_4,1.2234357973726234e-34
108,4,01-01_4,0.0
65,4,01-01_3,1.1793607887860516e-30
64,4,01-01_1,6.569355617917447e-32
63,4,01-00_5,6.387734506301044e-66
62,4,01-00_4,0.0
29,4,00-01_5,9.467494596900309e-66
28,4,00-01_4,0.0
364,5,07-01_5,2.526542299310966e-43
509,5,07-01_5,5.985212908995234e-37
530,5,07-01_5,0.0
363,5,07-01_4,3.0043814468730247e-36
508,5,07-01_4,2.3627881047568068e-29
362,5,07-01_3,3.028264754544829e-35
507,5,07-01_3,4.419257216263144e-30
361,5,07-01_2,5.732662475519748e-17
360,5,07-01_1,1.059108196861182e-42
506,5,07-01_1,1.7784989408435858e-35
359,5,07-01_0,2.999927271064113e-15
505,5,07-01_0,1.1089034529073265e-17
305,5,07-00_5,1.969603940860985e-20
358,5,07-00_5,8.542999257147528e-20
504,5,07-00_5,0.0
304,5,07-00_4,1.4385957056584753e-18
357,5,07-00_4,1.7787248796701043e-18
303,5,07-00_3,1.6555757003237244e-19
356,5,07-00_3,4.305049141696023e-19
302,5,07-00_1,5.264852466787329e-20
355,5,07-00_1,2.0183797152610474e-20
38,5,06-01_5,1.7474870364083618e-22
126,5,06-01_5,7.089915975954745e-25
199,5,06-01_5,8.974668577905553e-19
249,5,06-01_5,9.809891650900182e-16
443,5,06-01_5,2.694057438059139e-15
462,5,06-01_5,0.0
37,5,06-01_4,1.3864392379994214e-15
125,5,06-01_4,1.5484821529875162e-20
198,5,06-01_4,1.6524182955530058e-19
36,5,06-01_3,7.257865791803872e-18
124,5,06-01_3,1.0101828316686568e-22
197,5,06-01_3,1.6471575588483872e-19
442,5,06-01_3,9.288920989323422e-16
35,5,06-01_1,7.429262971037122e-18
123,5,06-01_1,4.782529303051869e-23
196,5,06-01_1,6.712346495586946e-19
354,5,06-01_1,5.765971254398952e-16
441,5,06-00_5,0.0
401,5,05-01_5,2.713991683307375e-46
420,5,05-01_5,0.0
400,5,05-01_4,9.939547315971555e-17
399,5,05-01_3,2.284440615833051e-25
398,5,05-01_1,9.20392888648495e-27
397,5,05-00_5,0.0
301,5,04-01_5,1.3202399134370035e-19
353,5,04-01_5,0.0
300,5,04-01_4,1.8162297265465486e-16
299,5,04-01_3,5.392275097495239e-16
298,5,04-01_1,3.0799297503216705e-20
297,5,04-00_5,0.0
225,5,03-01_5,3.977425841296353e-19
248,5,03-01_5,0.0
224,5,03-01_3,3.5915344435527463e-16
164,5,03-00_5,1.882019781053906e-16
223,5,03-00_5,0.0
163,5,03-00_3,1.2388732262711736e-19
122,5,02-01_5,1.130144021888451e-23
162,5,02-01_5,1.7389334882723605e-15
195,5,02-01_5,0.0
121,5,02-01_4,9.120636300863026e-20
120,5,02-01_3,2.5505678216962612e-23
119,5,02-01_1,1.1376591834342934e-19
161,5,02-00_5,0.0
72,5,01-01_5,4.018260617046466e-31
118,5,01-01_5,0.0
71,5,01-01_4,8.470500493761309e-22
70,5,01-01_3,4.301876646024953e-27
69,5,01-01_1,1.756160494124842e-27
68,5,01-00_5,0.0
34,5,00-01_5,0.0
548,age,age,0.0
542,asrsa_score,sqr_score,2.459195382242105e-24
541,asrsa_score,asrsb_score,8.201609985877079e-20
540,asrsa_score,asrsa_score,0.0
544,asrsb_score,sqr_score,2.0290000262244025e-18
