,col_a,col_b,rvalue
79,01-01_0,01-01_1,0.4217333285653681
80,01-01_0,01-01_2,0.6665789598309846
81,01-01_0,01-01_3,0.4861297354823611
82,01-01_0,01-01_5,0.4863977000015632
83,01-01_0,03-01_0,0.4717594593022992
84,01-01_0,06-00_0,0.4355793124373767
85,01-01_0,06-01_0,0.4758821642095259
86,01-01_1,01-01_1,0.9999999999999996
87,01-01_1,01-01_2,0.4778381945590771
88,01-01_1,01-01_3,0.9168622315070322
89,01-01_1,01-01_4,0.9349844793052808
90,01-01_1,01-01_5,0.9395317821053308
91,01-01_1,02-01_1,0.5109345817071519
92,01-01_1,02-01_3,0.524180926448896
93,01-01_1,02-01_4,0.5108146017848181
94,01-01_1,02-01_5,0.526357855715215
95,01-01_1,06-01_1,0.5338898533838627
96,01-01_1,06-01_3,0.5276810658314547
97,01-01_1,06-01_4,0.5298436526090617
98,01-01_1,06-01_5,0.5208388774324412
99,01-01_2,01-01_2,1.0
100,01-01_2,01-01_3,0.4663639823014838
101,01-01_2,01-01_4,0.4931072812339835
102,01-01_2,01-01_5,0.4414851141795489
103,01-01_2,02-01_2,0.4019991352056868
104,01-01_2,04-01_2,0.4117282386935864
105,01-01_2,06-01_3,0.4009929090092494
106,01-01_3,01-01_3,1.0
107,01-01_3,01-01_4,0.9124448735212376
108,01-01_3,01-01_5,0.9324764381598024
109,01-01_3,02-01_1,0.4847374076018124
110,01-01_3,02-01_3,0.5464934640062691
111,01-01_3,02-01_4,0.4995009091786177
112,01-01_3,02-01_5,0.5252057155296787
113,01-01_3,06-01_1,0.5221519031646905
114,01-01_3,06-01_3,0.5599910326091528
115,01-01_3,06-01_4,0.532136239304342
116,01-01_3,06-01_5,0.5272654532597014
117,01-01_4,01-01_4,0.9999999999999998
118,01-01_4,01-01_5,0.8550782602018532
119,01-01_4,02-01_1,0.4682169988272839
120,01-01_4,02-01_3,0.4859616916862977
121,01-01_4,02-01_4,0.491166217778452
122,01-01_4,02-01_5,0.4777364209745488
123,01-01_4,06-01_1,0.5154413864374225
124,01-01_4,06-01_3,0.5253752838144006
125,01-01_4,06-01_4,0.5604628548156316
126,01-01_4,06-01_5,0.4793395144890295
127,01-01_5,01-01_5,1.0
128,01-01_5,02-01_1,0.4854004098647925
129,01-01_5,02-01_3,0.5253281490140493
